domain,saas,pbn,checked,business,legal,shop,news,reviews,tech,travel,music,finance,education,school,technology,store,stories,entertainment,technologies,construction,health,food,medical,real estate,lifestyle,university,fashion,biography,finances,review,magazine
www3.mtb.com,0.0,1.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
www3.weforum.org,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wwwprod.dish.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wyomingllcattorney.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xait.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xam.com.au,3.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcritical.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xebrio.com,6.0,1.0,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
xenforo.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xenia-consulting.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xfactor.io,,,bratva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xkcd.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xm.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xnview.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xoverture.com,3.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xyzmo.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yacss.site,2.0,1.0,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
yakima.com,0.0,1.0,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
yalelawjournal.org,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yalemedicine.org,0.0,1.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
yandex.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yankee-capital.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yaymaker.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yazlo.ca,4.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yce.perfectcorp.com,5.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yelowsoft.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeswriting.com,0.0,1.0,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
ynos.in,1.0,0.0,bratva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yo-rent.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yoctoproject.org,0.0,1.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
youcanbefound.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youcandealwithit.com,,,bratva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youmatter.world,0.0,10.0,True,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,
youngupstarts.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yourarticlelibrary.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yourbusiness.azcentral.com,0.0,2.0,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,
youtube,,,bratva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtubeservices.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ytshorts.savetube.me,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yumpu.com,0.0,2.0,True,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,
z2data.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
za.linkedin.com,6.0,2.0,True,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,
zacks.com,0.0,2.0,True,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,
zagg.com,0.0,0.0,bratva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahoree.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zappian.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zaproxy.org,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zaubacorp.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zawya.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zealar.com.au,3.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeet.co,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zenframe.com,,,bratva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zenml.io,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zenpack.us,1.0,1.0,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
zionsbank.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zip.co,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ziplyfiber.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zodsecurity.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zolak.tech,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zoma.ie,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zonebourse.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zotero.org,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zrgpartners.com,,,bratva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.appexchange.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100dollarsresume.com,3.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100jsprojects.com,0.0,0.0,bratva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101digital.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.154.2.115,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040.com,,,bratva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10bestpr.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10eqs.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10poundgorilla.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10speed.cloud,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10x-agency.com,2.0,2.0,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
10xbanking.com,2.0,1.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
10zig.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123certificates.com,0.0,1.0,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
123pbx.net,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12factor.net,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12kraken.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311consulting.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13below.com,,,bratva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13layers.com,2.0,1.0,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
14000store.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147training.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518studios.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15minuteplan.ai,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15track.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16software.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710media.com,3.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174.138.44.200,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17thavenuedesigns.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800notify.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800publicrelations.com,1.0,1.0,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1819.brussels,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888typeitup.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190west.com,3.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.74.58.161,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984.hosting,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19ideas.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1build.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1call.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1callservice.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1cloudconsultants.com,0.0,1.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1digitalmarketing.ca,3.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1gec.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1lyqa.com,10.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1nce.com,0.0,1.0,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1password.community,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1pds.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1phoenixseo.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1sixty8.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1stcontactdatabases.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1stdatarecovery.com,0.0,1.0,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1stflip.com,0.0,1.0,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1stinline.com,0.0,1.0,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1stop.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1stopasia.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1stopclaima-lot.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1stoporders.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1streporting.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1teamsoftware.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1usa.co,0.0,0.0,bratva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014.moodlemoot.fr,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020innovation.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023.ipfs-thing.io,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211ct.org,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212tax.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175group.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21cloudbox.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
